Row ID,Establishment ID,Inspection ID,Company/Franchise,Name,Type,Address,Lat,Long,Status,Minimum inspections per year,Infraction details,Inspection date,Severity,Action,Court outcome,Amount fined
1,1222579,104063869,SAI-LILA KHAMAN DHOKLA HOUSE,SAI-LILA KHAMAN DHOKLA HOUSE,Food Take Out,870 MARKHAM RD,43.76797956,-79.22902912,Pass,2,,2017-10-04,,,,
7,1222807,104018926,PHO BO TO,PHO BO TO,Restaurant,1635 LAWRENCE AVE W,43.70463403,-79.49223584,Pass,2,,2017-07-25,,,,
11,1223056,104022608,Pizza Pizza,PIZZA PIZZA,Restaurant,606 BROWNS LINE,43.6053117,-79.54729272,Pass,2,,2017-07-31,,,,
15,9000004,104239519,PAPINO'S PIZZA,PAPINO'S PIZZA,Food Take Out,1788 JANE ST,43.70630385,-79.505023,Pass,2,Operator fail to properly maintain rooms,2018-06-11,M - Minor,Notice to Comply,,
17,9000026,104083633,2-4-1 PIZZA,2-4-1 PIZZA,Food Take Out,2372 EGLINTON AVE E,43.73203707,-79.27101926,Conditional Pass,2,Fail to provide required illumination during all hours of operation O. Reg  562/90 Sec. 13,2017-10-31,M - Minor,Notice to Comply,,
26,9000031,103998316,2-4-1 PIZZA,2-4-1 PIZZA,Food Take Out,759 JANE ST,43.67153386,-79.493345,Pass,2,,2017-06-20,,,,
30,9000046,103995036,2-4-1 PIZZA,2-4-1 PIZZA,Food Take Out,1468 QUEEN ST W,43.640587,-79.436646,Pass,2,Operator fail to properly wash surfaces in rooms,2017-06-20,M - Minor,Notice to Comply,,
33,9000072,103966218,Tim Hortons,TIM HORTONS,Cafeteria,250 BLOOR ST E,43.67203147,-79.38092832,Pass,2,Operator fail to properly maintain equipment(NON-FOOD),2017-05-10,M - Minor,Notice to Comply,,
39,9000074,103980952,OMNI KING EDWARD -BANQUET KITCHEN,OMNI KING EDWARD -BANQUET KITCHEN,Commissary,37 KING ST E,43.649384,-79.3762,Pass,2,Operator fail to properly maintain rooms,2017-06-01,M - Minor,Notice to Comply,,
46,9000097,103964644,30 UP CLUB,30 UP CLUB,Private Club,22 DORCHESTER AVE,43.62153157,-79.51790322,Pass,2,Operator fail to properly wash surfaces in rooms,2017-05-09,M - Minor,Notice to Comply,,
50,9000107,104006268,STUDIO 123,STUDIO 123,Child Care - Catered,401 RICHMOND ST W,43.647663,-79.394745,Pass,2,,2017-07-05,,,,
53,9000109,104038625,BRASS TAPS PIZZA PUB,BRASS TAPS PIZZA PUB,Restaurant,493 DANFORTH AVE,43.67781725,-79.3492437,Pass,2,,2017-08-23,,,,
60,9000116,104029654,521 CAFE,521 CAFE,Restaurant,521 DANFORTH AVE,43.6780358,-79.34820993,Pass,2,Operator fail to properly maintain rooms,2017-08-10,M - Minor,Notice to Comply,,
63,9000122,104149129,7 DAY CONVENIENCE,7 DAY CONVENIENCE,Food Store (Convenience / Variety),2480 GERRARD ST E,43.68747143,-79.28452538,Pass,1,,2018-02-14,,,,
64,9000123,104085753,7 DAY CONVENIENCE,7 DAY CONVENIENCE,Food Store (Convenience / Variety),3228 WESTON RD,43.73890682,-79.53973272,Pass,1,Operator fail to provide proper equipment,2017-11-02,M - Minor,Notice to Comply,,
65,9000144,104019403,7 WEST CAFE,7 WEST CAFE,Restaurant,7 CHARLES ST W,43.66849727,-79.38669492,Pass,3,Operator fail to properly maintain rooms,2017-07-26,M - Minor,Notice to Comply,,
84,9000174,104018560,A & A CHILD CARE CENTRE,A & A CHILD CARE CENTRE,Child Care - Food Preparation,3380 MIDLAND AVE,43.80930265,-79.29034654,Pass,3,,2017-08-01,,,,
90,9000191,104115737,METRO DISTRIBUTION CENTRE,METRO DISTRIBUTION CENTRE,Food Depot,170 THE WEST MALL,43.625088,-79.56145,Pass,1,,2017-12-22,,,,
91,9000193,104053190,METRO DISTRIBUTION CENTRE,METRO DISTRIBUTION CENTRE,Food Depot,25 VICKERS RD,43.62796433,-79.55230439,Pass,1,,2017-09-14,,,,
92,9000198,103991582,A & W,A & W,Food Court Vendor,250 THE EAST MALL,43.632793,-79.55468,Pass,2,Operator fail to provide proper equipment,2017-06-15,M - Minor,Notice to Comply,,
96,9000200,104050194,A & W,A & W,Restaurant,2300 YONGE ST,43.70715757,-79.39908353,Conditional Pass,2,Operator fail to properly maintain equipment,2017-09-11,S - Significant,Notice to Comply,,
103,9000224,104330364,A PLACE TO PLAY CO-OP NURSERY,A PLACE TO PLAY CO-OP NURSERY,Child Care - Catered,680 ANNETTE ST,43.65934667,-79.48501758,Pass,2,,2018-10-23,,,,
104,9000239,104019732,A.C. RANCH CAFFE,A.C. RANCH CAFFE,Restaurant,1220 ST CLAIR AVE W,43.67785117,-79.4447766,Pass,2,,2017-07-26,,,,
107,9000247,104185439,A.R.K. MARKET,A.R.K. MARKET,Food Store (Convenience / Variety),31 ST DENNIS DR,43.71858078,-79.32958825,Conditional Pass,2,Operator fail to ensure food is not contaminated/adulterated,2018-03-27,C - Crucial,Notice to Comply,,
114,9000251,104210309,A-1 DISCOUNT VARIETY,A-1 DISCOUNT VARIETY,Food Store (Convenience / Variety),2412 LAKE SHORE BLVD W,43.61471418,-79.48910881,Pass,1,,2018-05-02,,,,
